,Accuracy
0,0.990344430033146
1,0.9341403660469808
2,0.9162703559590719
3,0.9847240236345295
4,0.9913532209252054
5,0.8254791756737282
6,0.9871739443723879
7,0.9793918432050728
8,0.9939472546476438
9,0.6707018302349042
10,0.9626747369938031
11,0.9136763222366335
12,0.9156939040207522
13,0.9880386222798674
14,0.945237065859634
15,0.9962530624009224
16,0.9956766104626027
17,0.9896238651102465
18,0.9718979680069174
19,0.9963971753855022
20,0.974203775760196
21,0.9899120910794063
22,0.9971177403084018
23,0.9031560743623
24,0.9871739443723879
25,0.9896238651102465
26,0.9922178988326849
27,0.9783830523130134
28,0.9871739443723879
29,0.9749243406830955
