,afrgrp1,afrthr1,bkctch1,blhgon1,blnwea1,categr,chucis1,crheag1,fislov1,fotdro5,gbesta1,gobbun1,grbcam1,grwpyt1,hadibi1,hunsun2,kvbsun1,mabeat1,mouwag1,pabspa1,scrcha1,squher1,stusta1,varsun2,vimwea1,whbtit5,whbwea1,whbwhe3,wtbeat1,yebere1
afrgrp1,0.8805970149253731,0.0,0.029850746268656716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.014925373134328358,0.05970149253731343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afrthr1,0.0,0.9696969696969697,0.0,0.0021645021645021645,0.0021645021645021645,0.0,0.004329004329004329,0.0,0.0,0.0,0.0,0.004329004329004329,0.0,0.0021645021645021645,0.0021645021645021645,0.0,0.0,0.0,0.0,0.0,0.006493506493506494,0.0,0.0,0.004329004329004329,0.0,0.0,0.0,0.0,0.0,0.0021645021645021645
bkctch1,0.0,0.004132231404958678,0.9338842975206612,0.002066115702479339,0.002066115702479339,0.010330578512396695,0.0,0.0,0.0,0.008264462809917356,0.004132231404958678,0.010330578512396695,0.0,0.0,0.004132231404958678,0.002066115702479339,0.0,0.002066115702479339,0.0,0.0,0.0,0.0,0.0,0.002066115702479339,0.004132231404958678,0.004132231404958678,0.002066115702479339,0.0,0.002066115702479339,0.002066115702479339
blhgon1,0.018867924528301886,0.009433962264150943,0.009433962264150943,0.9056603773584906,0.0,0.018867924528301886,0.0,0.0,0.0,0.009433962264150943,0.009433962264150943,0.0,0.0,0.0,0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009433962264150943,0.0,0.0,0.0,0.0,0.0
blnwea1,0.0,0.0,0.016666666666666666,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
categr,0.003061224489795918,0.0,0.006122448979591836,0.0,0.0,0.9653061224489796,0.0020408163265306124,0.0,0.0,0.00816326530612245,0.004081632653061225,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.0010204081632653062,0.0,0.0,0.0,0.003061224489795918,0.0,0.0010204081632653062,0.003061224489795918,0.0010204081632653062,0.0,0.0,0.0,0.0
chucis1,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.8636363636363636,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06818181818181818,0.0,0.011363636363636364,0.0,0.0,0.0,0.022727272727272728
crheag1,0.007142857142857143,0.0,0.014285714285714285,0.007142857142857143,0.0,0.0,0.0,0.95,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fislov1,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.7804878048780488,0.07317073170731707,0.0,0.0,0.0,0.0,0.024390243902439025,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.04878048780487805,0.0,0.0,0.0,0.0,0.0
fotdro5,0.0,0.0,0.003875968992248062,0.0,0.0009689922480620155,0.0048449612403100775,0.0009689922480620155,0.0009689922480620155,0.0,0.9718992248062015,0.0029069767441860465,0.0,0.001937984496124031,0.0,0.0029069767441860465,0.0,0.0,0.001937984496124031,0.0,0.0009689922480620155,0.0,0.001937984496124031,0.0,0.0,0.0009689922480620155,0.0029069767441860465,0.0,0.0,0.0,0.0
gbesta1,0.0,0.0,0.023809523809523808,0.003968253968253968,0.003968253968253968,0.015873015873015872,0.0,0.0,0.003968253968253968,0.031746031746031744,0.8928571428571429,0.003968253968253968,0.0,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968
gobbun1,0.0,0.0,0.0047169811320754715,0.0,0.0,0.0023584905660377358,0.0,0.0,0.0,0.0047169811320754715,0.0,0.9622641509433962,0.0,0.0023584905660377358,0.0023584905660377358,0.0,0.0,0.0,0.0047169811320754715,0.0,0.0,0.0,0.0,0.0,0.0023584905660377358,0.0047169811320754715,0.0,0.0047169811320754715,0.0,0.0047169811320754715
grbcam1,0.0,0.005859375,0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.00390625,0.00390625,0.0,0.9765625,0.0,0.00390625,0.0,0.0,0.0,0.0,0.0,0.0,0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001953125
grwpyt1,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.0,0.0,0.0,0.024096385542168676,0.012048192771084338,0.0,0.0,0.9036144578313253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03614457831325301,0.012048192771084338,0.0,0.0,0.0,0.0,0.0
hadibi1,0.00202020202020202,0.00404040404040404,0.00808080808080808,0.0,0.00202020202020202,0.014141414141414142,0.0,0.0,0.0,0.00404040404040404,0.00808080808080808,0.00202020202020202,0.006060606060606061,0.0,0.9414141414141414,0.0,0.0,0.0,0.0,0.0,0.0,0.00202020202020202,0.0,0.0,0.00404040404040404,0.0,0.0,0.00202020202020202,0.0,0.0
hunsun2,0.0,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.0,0.7692307692307693,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0
kvbsun1,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.03333333333333333,0.0,0.0,0.0,0.0
mabeat1,0.0,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mouwag1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.9518072289156626,0.0,0.0,0.0,0.0,0.0,0.0,0.018072289156626505,0.0,0.0,0.0,0.006024096385542169
pabspa1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0
scrcha1,0.006060606060606061,0.006060606060606061,0.012121212121212121,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.006060606060606061,0.0,0.012121212121212121,0.0,0.0,0.0,0.0,0.0,0.9393939393939394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
squher1,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0,0.1,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.0,0.014285714285714285,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stusta1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
varsun2,0.0,0.0019047619047619048,0.0,0.0,0.0019047619047619048,0.0038095238095238095,0.0,0.0,0.0019047619047619048,0.0019047619047619048,0.0,0.0038095238095238095,0.0,0.0,0.0,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.0038095238095238095,0.0,0.9619047619047619,0.0,0.005714285714285714,0.0,0.0,0.0,0.0038095238095238095
vimwea1,0.0,0.0,0.022727272727272728,0.0,0.0,0.022727272727272728,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.022727272727272728,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.8636363636363636,0.022727272727272728,0.0,0.0,0.0,0.0
whbtit5,0.0,0.0,0.027777777777777776,0.0,0.0,0.013888888888888888,0.013888888888888888,0.0,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.05555555555555555,0.013888888888888888,0.75,0.0,0.0,0.0,0.013888888888888888
whbwea1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.9423076923076923,0.019230769230769232,0.0,0.0
whbwhe3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00684931506849315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9794520547945206,0.00684931506849315,0.00684931506849315
